Date,AUD/USD Close,AUD/USD High,AUD/USD Low
1999-01-01,0.6081,0.6081,0.6081
1999-01-04,0.621,0.6226,0.6115
1999-01-05,0.6221,0.6245,0.621
1999-01-06,0.6299,0.6306,0.6195
1999-01-07,0.6369,0.6376,0.628
1999-01-08,0.6347,0.6357,0.6315
1999-01-11,0.6402,0.6416,0.6325
1999-01-12,0.6383,0.6435,0.6365
1999-01-13,0.6336,0.6375,0.6288
1999-01-14,0.6313,0.6366,0.6397
1999-01-15,0.635,0.6358,0.629
1999-01-18,0.634,0.637,0.634
1999-01-19,0.638,0.6404,0.6325
1999-01-20,0.6391,0.6411,0.638
1999-01-21,0.6425,0.6454,0.636
1999-01-22,0.6316,0.6415,0.6315
1999-01-25,0.6305,0.634,0.6299
1999-01-26,0.6286,0.633,0.6281
1999-01-27,0.6288,0.6325,0.6264
1999-01-28,0.6263,0.6285,0.6235
1999-01-29,0.6301,0.6318,0.6265
1999-02-01,0.6367,0.6378,0.631
1999-02-02,0.6389,0.6413,0.635
1999-02-03,0.6416,0.644,0.637
1999-02-04,0.649,0.6509,0.6375
1999-02-05,0.6503,0.6539,0.6475
1999-02-08,0.6512,0.654,0.6495
1999-02-09,0.6454,0.65,0.6444
1999-02-10,0.6461,0.6481,0.643
1999-02-11,0.6471,0.6514,0.6445
1999-02-12,0.6455,0.648,0.6405
1999-02-15,0.6465,0.6495,0.6455
1999-02-16,0.636,0.6455,0.6344
1999-02-17,0.6345,0.637,0.6325
1999-02-18,0.6352,0.6378,0.6336
1999-02-19,0.6405,0.641,0.635
1999-02-22,0.6402,0.6418,0.6355
1999-02-23,0.6409,0.6415,0.6365
1999-02-24,0.6321,0.6405,0.6292
1999-02-25,0.6254,0.6325,0.624
1999-02-26,0.6181,0.625,0.617
1999-03-01,0.6192,0.6215,0.6165
1999-03-02,0.622,0.624,0.619
1999-03-03,0.6229,0.6265,0.621
1999-03-04,0.6241,0.6264,0.6195
1999-03-05,0.6281,0.6295,0.6245
1999-03-08,0.6318,0.6319,0.6265
1999-03-09,0.6359,0.6368,0.63
1999-03-10,0.6362,0.6385,0.6335
1999-03-11,0.6379,0.6395,0.6322
1999-03-12,0.6363,0.638,0.6331
1999-03-15,0.628,0.6355,0.6252
1999-03-16,0.6275,0.6295,0.6237
1999-03-17,0.6273,0.6291,0.6235
1999-03-18,0.6284,0.6316,0.6265
1999-03-19,0.6298,0.6317,0.627
1999-03-22,0.6356,0.6362,0.63
1999-03-23,0.6401,0.6409,0.6355
1999-03-24,0.6384,0.6421,0.6374
1999-03-25,0.6374,0.6382,0.6352
1999-03-26,0.6346,0.6395,0.6329
1999-03-29,0.6316,0.635,0.6308
1999-03-30,0.6259,0.6325,0.6253
1999-03-31,0.6352,0.6373,0.626
1999-04-01,0.6352,0.6383,0.6335
1999-04-02,0.6342,0.6355,0.6325
1999-04-05,0.631,0.6355,0.6303
