Date,EUR/CHF Close,EUR/CHF High,EUR/CHF Low
1999-01-01,1.6116,1.6116,1.6116
1999-01-04,1.617,1.6205,1.6075
1999-01-05,1.6145,1.6185,1.6085
1999-01-06,1.6184,1.6205,1.608
1999-01-07,1.6139,1.6245,1.61
1999-01-08,1.6137,1.62,1.61
1999-01-11,1.611,1.615,1.6075
1999-01-12,1.604,1.6135,1.6002
1999-01-13,1.5927,1.606,1.5765
1999-01-14,1.5894,1.597,1.5872
1999-01-15,1.5986,1.6017,1.584
1999-01-18,1.5985,1.6055,1.596
1999-01-19,1.5963,1.6035,1.5928
1999-01-20,1.6059,1.611,1.5965
1999-01-21,1.6054,1.6088,1.5979
1999-01-22,1.604,1.607,1.5962
1999-01-25,1.6023,1.6058,1.594
1999-01-26,1.6061,1.6077,1.599
1999-01-27,1.6126,1.6162,1.6045
1999-01-28,1.6107,1.6154,1.608
1999-01-29,1.6074,1.6145,1.6079
1999-02-01,1.6062,1.6115,1.6043
1999-02-02,1.6033,1.61,1.5977
1999-02-03,1.6016,1.6059,1.595
1999-02-04,1.6032,1.606,1.5981
1999-02-05,1.6012,1.6045,1.5964
1999-02-08,1.6025,1.604,1.5975
1999-02-09,1.604,1.6056,1.5985
1999-02-10,1.595,1.603,1.592
1999-02-11,1.6028,1.6039,1.5945
1999-02-12,1.5973,1.602,1.5936
1999-02-15,1.597,1.599,1.5945
1999-02-16,1.5966,1.6006,1.594
1999-02-17,1.5986,1.6011,1.5955
1999-02-18,1.5991,1.6018,1.5951
1999-02-19,1.6003,1.6038,1.597
1999-02-22,1.5983,1.603,1.5957
1999-02-23,1.5935,1.6005,1.5906
1999-02-24,1.5912,1.596,1.5908
1999-02-25,1.5886,1.596,1.5844
1999-02-26,1.5938,1.595,1.5865
1999-03-01,1.5925,1.5958,1.5902
1999-03-02,1.5915,1.5958,1.5899
1999-03-03,1.5901,1.595,1.5877
1999-03-04,1.5891,1.5923,1.5852
1999-03-05,1.5914,1.5943,1.588
1999-03-08,1.5917,1.594,1.59
1999-03-09,1.5962,1.5995,1.591
1999-03-10,1.5982,1.602,1.5945
1999-03-11,1.6041,1.6056,1.5918
1999-03-12,1.599,1.603,1.5963
1999-03-15,1.6025,1.6041,1.5975
1999-03-16,1.5987,1.6024,1.5945
1999-03-17,1.597,1.6015,1.5936
1999-03-18,1.5997,1.6047,1.594
1999-03-19,1.598,1.6004,1.5959
1999-03-22,1.5961,1.6,1.5949
1999-03-23,1.5921,1.5985,1.5911
1999-03-24,1.594,1.5963,1.589
1999-03-25,1.5943,1.5982,1.591
1999-03-26,1.5931,1.5977,1.5912
1999-03-29,1.5935,1.597,1.5912
1999-03-30,1.5973,1.6015,1.5925
1999-03-31,1.5955,1.599,1.594
1999-04-01,1.5966,1.599,1.5935
1999-04-02,1.5968,1.598,1.5945
1999-04-05,1.5952,1.5993,1.5947
1999-04-06,1.597,1.5998,1.5935
1999-04-07,1.5965,1.5989,1.5934
1999-04-08,1.5961,1.5994,1.5925
1999-04-09,1.6012,1.6014,1.5945
1999-04-12,1.6065,1.6077,1.6
1999-04-13,1.6056,1.6075,1.6015
1999-04-14,1.6033,1.607,1.6018
1999-04-15,1.6035,1.6063,1.6015
1999-04-16,1.6013,1.6065,1.6
1999-04-19,1.602,1.6035,1.5992
1999-04-20,1.6014,1.606,1.5985
1999-04-21,1.6012,1.603,1.5977
1999-04-22,1.6017,1.603,1.5985
1999-04-23,1.6035,1.6067,1.599
1999-04-26,1.6027,1.6044,1.5995
1999-04-27,1.6085,1.6088,1.6015
1999-04-28,1.6074,1.6102,1.6059
1999-04-29,1.6111,1.6122,1.6055
1999-04-30,1.6113,1.6139,1.6097
1999-05-03,1.6113,1.6132,1.609
1999-05-04,1.6069,1.6125,1.6043
1999-05-05,1.6054,1.6075,1.6029
1999-05-06,1.608,1.61,1.6035
1999-05-07,1.6088,1.61,1.605
1999-05-10,1.6096,1.61,1.6055
1999-05-11,1.6083,1.6109,1.606
1999-05-12,1.6037,1.6095,1.6015
1999-05-13,1.6025,1.604,1.5995
1999-05-14,1.6039,1.6045,1.5998
1999-05-17,1.6036,1.6065,1.6005
1999-05-18,1.601,1.605,1.6
1999-05-19,1.6028,1.6041,1.5995
1999-05-20,1.6036,1.605,1.6008
1999-05-21,1.6048,1.6057,1.601
1999-05-24,1.6019,1.6045,1.601
1999-05-25,1.5938,1.6025,1.5922
1999-05-26,1.5932,1.5961,1.5905
1999-05-27,1.5913,1.5957,1.5906
1999-05-28,1.5915,1.5954,1.589
1999-05-31,1.5917,1.596,1.591
1999-06-01,1.5923,1.5949,1.5897
1999-06-02,1.5906,1.594,1.5888
1999-06-03,1.5902,1.5947,1.586
1999-06-04,1.5891,1.59,1.586
1999-06-07,1.5874,1.5895,1.5835
1999-06-08,1.5928,1.594,1.586
1999-06-09,1.5947,1.5952,1.5894
1999-06-10,1.5958,1.5991,1.5915
1999-06-11,1.5962,1.5995,1.5942
1999-06-14,1.5948,1.5965,1.593
1999-06-15,1.5957,1.5972,1.5915
1999-06-16,1.5952,1.597,1.593
1999-06-17,1.5954,1.5988,1.5945
1999-06-18,1.5976,1.6005,1.593
1999-06-21,1.5961,1.5987,1.5949
1999-06-22,1.5961,1.597,1.593
1999-06-23,1.5975,1.5986,1.5944
1999-06-24,1.5984,1.599,1.5941
1999-06-25,1.5986,1.601,1.597
1999-06-28,1.5995,1.6016,1.596
1999-06-29,1.6025,1.6039,1.5975
1999-06-30,1.6024,1.6044,1.5997
1999-07-01,1.6055,1.6074,1.6021
1999-07-02,1.6061,1.6077,1.602
1999-07-05,1.605,1.6082,1.6023
1999-07-06,1.603,1.6051,1.6009
1999-07-07,1.6043,1.6063,1.6016
1999-07-08,1.6049,1.6064,1.602
1999-07-09,1.6068,1.6087,1.6038
1999-07-12,1.6054,1.6085,1.6036
1999-07-13,1.6048,1.606,1.602
1999-07-14,1.6062,1.6072,1.6025
1999-07-15,1.6068,1.6078,1.6035
1999-07-16,1.6068,1.6086,1.6045
1999-07-19,1.6048,1.6075,1.6
1999-07-20,1.6054,1.6065,1.6014
1999-07-21,1.606,1.6087,1.6038
1999-07-22,1.6063,1.6092,1.6039
1999-07-23,1.6057,1.6073,1.6031
1999-07-26,1.6042,1.6077,1.6027
1999-07-27,1.5995,1.606,1.5981
1999-07-28,1.5988,1.6016,1.596
1999-07-29,1.596,1.6005,1.5941
1999-07-30,1.5952,1.599,1.594
1999-08-02,1.598,1.5992,1.595
1999-08-03,1.5999,1.6011,1.5965
1999-08-04,1.6002,1.6018,1.598
1999-08-05,1.6002,1.6018,1.5965
1999-08-06,1.6007,1.6033,1.5993
1999-08-09,1.6015,1.6031,1.5975
1999-08-10,1.6022,1.6035,1.5994
1999-08-11,1.6021,1.604,1.6
1999-08-12,1.601,1.6035,1.5996
1999-08-13,1.602,1.604,1.6007
1999-08-16,1.6018,1.603,1.6
1999-08-17,1.6012,1.6027,1.6
1999-08-18,1.6,1.6025,1.5993
1999-08-19,1.5986,1.601,1.5972
1999-08-20,1.5957,1.5995,1.5944
1999-08-23,1.6003,1.6037,1.5963
1999-08-24,1.5999,1.6022,1.5985
1999-08-25,1.6024,1.6038,1.5998
1999-08-26,1.6022,1.603,1.6
1999-08-27,1.6015,1.603,1.5999
1999-08-30,1.601,1.6036,1.6006
1999-08-31,1.6004,1.6025,1.5981
1999-09-01,1.6015,1.6024,1.599
1999-09-02,1.5965,1.603,1.5948
1999-09-03,1.5985,1.6001,1.595
1999-09-06,1.599,1.5995,1.596
1999-09-07,1.5991,1.6005,1.597
