Date,EUR/GBP Close,EUR/GBP High,EUR/GBP Low
1999-01-01,0.7064,0.7064,0.7064
1999-01-04,0.7138,0.7138,0.707
1999-01-05,0.7117,0.7151,0.7092
1999-01-06,0.7012,0.7128,0.7005
1999-01-07,0.7096,0.7102,0.7025
1999-01-08,0.7051,0.7117,0.7037
1999-01-11,0.705,0.7075,0.702
1999-01-12,0.7083,0.7096,0.7025
1999-01-13,0.7072,0.7115,0.7065
1999-01-14,0.7067,0.7087,0.7045
1999-01-15,0.7016,0.7075,0.7005
1999-01-18,0.702,0.703,0.7
1999-01-19,0.7015,0.703,0.6977
1999-01-20,0.7022,0.7041,0.699
1999-01-21,0.702,0.7045,0.6997
1999-01-22,0.7004,0.7035,0.6992
1999-01-25,0.6974,0.701,0.6965
1999-01-26,0.6968,0.6981,0.6955
1999-01-27,0.6952,0.698,0.6935
1999-01-28,0.6921,0.6965,0.6909
1999-01-29,0.6903,0.694,0.6893
1999-02-01,0.689,0.693,0.6879
1999-02-02,0.6922,0.6922,0.686
1999-02-03,0.6917,0.6935,0.6905
1999-02-04,0.689,0.692,0.6875
1999-02-05,0.6902,0.6915,0.6873
1999-02-08,0.6908,0.6912,0.688
1999-02-09,0.6902,0.692,0.6895
1999-02-10,0.6962,0.6978,0.69
1999-02-11,0.6926,0.6985,0.6919
1999-02-12,0.6915,0.693,0.69
1999-02-15,0.6906,0.6925,0.688
1999-02-16,0.6856,0.6905,0.6833
1999-02-17,0.6874,0.688,0.6835
1999-02-18,0.6851,0.6889,0.684
1999-02-19,0.6823,0.686,0.6803
1999-02-22,0.6786,0.6825,0.677
1999-02-23,0.6822,0.6829,0.6775
1999-02-24,0.6883,0.6892,0.6805
1999-02-25,0.6886,0.69,0.687
1999-02-26,0.6878,0.689,0.6847
1999-03-01,0.6767,0.689,0.676
1999-03-02,0.6764,0.6785,0.6752
1999-03-03,0.675,0.6775,0.6715
1999-03-04,0.6718,0.6758,0.6714
1999-03-05,0.674,0.6753,0.671
1999-03-08,0.6769,0.68,0.6735
1999-03-09,0.6728,0.677,0.6714
1999-03-10,0.6732,0.6765,0.6725
1999-03-11,0.6742,0.6749,0.6644
1999-03-12,0.6688,0.675,0.6661
1999-03-15,0.674,0.6754,0.669
1999-03-16,0.6753,0.6759,0.6675
