Date,EUR/JPY Close,EUR/JPY High,EUR/JPY Low
1999-01-01,133.27,133.27,133.27
1999-01-04,132.44,135.15,132.1
1999-01-05,130.91,132.85,130.6
1999-01-06,131.09,132.5,131
1999-01-07,129.94,131.45,128.5
1999-01-08,131.05,131.05,128.5
1999-01-11,124.8,128.5,124.55
1999-01-12,129.93,130.16,124.85
1999-01-13,131.86,133.69,129.15
1999-01-14,132.82,133.85,131.25
1999-01-15,132.12,132.8,131.14
1999-01-18,132.55,133.35,131.4
1999-01-19,131.78,133,131.6
1999-01-20,130.39,131.85,130.21
1999-01-21,131.82,132.81,129.9
1999-01-22,132.86,132.98,131.7
1999-01-25,131.65,132.95,131.27
1999-01-26,131.74,132.31,131
1999-01-27,132.29,133.03,130.8
1999-01-28,132.93,132.97,131.75
1999-01-29,132.31,132.95,131.53
1999-02-01,130.19,132,129.63
1999-02-02,127.15,130.4,126.76
1999-02-03,127.71,128.07,126.85
1999-02-04,127.35,129,126.16
1999-02-05,127.55,128.23,126.65
1999-02-08,129.68,130.02,127
1999-02-09,129.12,130.2,128.79
1999-02-10,129.69,130.99,128.8
1999-02-11,128.74,129.8,128.55
1999-02-12,129.15,129.9,127.98
1999-02-15,129.65,130.1,128.35
1999-02-16,133.05,133.38,129.8
1999-02-17,133.84,133.9,132.4
1999-02-18,134.23,134.83,133.2
1999-02-19,133.95,134.95,133.55
1999-02-22,133.39,135,132.58
1999-02-23,133.06,133.75,132.45
1999-02-24,133.77,134.03,132.75
1999-02-25,132.13,134,131.81
1999-02-26,131.15,133.05,130.14
1999-03-01,130.35,131.5,130.23
1999-03-02,131.4,131.95,130.35
1999-03-03,132.58,132.8,131.3
1999-03-04,133.42,134.18,132.31
1999-03-05,132.76,133.55,132.44
1999-03-08,132.4,133.2,131.7
1999-03-09,131.66,132.8,131.62
1999-03-10,131.22,132.2,131
1999-03-11,131.63,132,129.54
1999-03-12,129.55,132.65,129.5
1999-03-15,128.73,130.25,128.39
1999-03-16,129.48,129.63,127.3
1999-03-17,129.86,130.8,128.95
1999-03-18,128.83,131.05,128.79
1999-03-19,127.65,129.2,127.54
1999-03-22,128.89,129.14,127.5
1999-03-23,128.74,129.5,128.24
1999-03-24,128.84,129.05,128.1
1999-03-25,127.96,128.86,127.89
1999-03-26,129.84,129.54,127.9
1999-03-29,128.99,129.6,128.15
1999-03-30,128.93,129.73,128.7
1999-03-31,128.02,129.5,127.51
1999-04-01,129.98,130.1,127.25
1999-04-02,129.85,130.2,129.7
1999-04-05,130.49,130.9,129.85
1999-04-06,130.88,131.15,129.29
1999-04-07,130.72,131.23,130.15
1999-04-08,130.42,131.52,130.2
1999-04-09,130.61,130.95,129.7
1999-04-12,130.07,130.85,129.95
1999-04-13,129.01,130.6,128.99
1999-04-14,128.07,129.2,128.03
1999-04-15,127.17,128.75,127.03
1999-04-16,126,127.45,125.2
1999-04-19,125.01,126.8,124.8
1999-04-20,126.31,126.38,125.14
1999-04-21,127.16,127.28,125.8
1999-04-22,126.87,128.15,126.55
1999-04-23,126.68,127.85,126.46
1999-04-26,126.26,126.55,125.8
1999-04-27,128.38,128.53,126.2
1999-04-28,126.66,128.15,126.34
1999-04-29,126.04,126.9,125.81
1999-04-30,126.37,127.05,126
1999-05-03,127.23,127.27,126.4
1999-05-04,128.48,128.49,127.15
1999-05-05,129.58,129.94,128.35
1999-05-06,130.26,130.9,128.95
1999-05-07,129.89,130.48,129.7
1999-05-10,130.15,130.61,129.3
