Date,EUR/USD Close,EUR/USD High,EUR/USD Low
1999-01-01,1.1729,1.1729,1.1729
1999-01-04,1.1825,1.1885,1.174
1999-01-05,1.1776,1.1835,1.1747
1999-01-06,1.16,1.1775,1.1555
1999-01-07,1.1713,1.1735,1.161
1999-01-08,1.1595,1.1735,1.154
1999-01-11,1.1491,1.1605,1.1487
1999-01-12,1.1551,1.1565,1.1445
1999-01-13,1.1653,1.179,1.155
1999-01-14,1.1709,1.1725,1.1615
1999-01-15,1.159,1.175,1.1566
1999-01-18,1.1605,1.162,1.156
1999-01-19,1.161,1.164,1.1565
1999-01-20,1.1553,1.1615,1.1542
1999-01-21,1.16,1.1612,1.1545
1999-01-22,1.1587,1.1625,1.156
1999-01-25,1.1555,1.161,1.1554
1999-01-26,1.1561,1.159,1.155
1999-01-27,1.1432,1.1565,1.1403
1999-01-28,1.1421,1.147,1.138
1999-01-29,1.1367,1.143,1.1346
1999-02-01,1.1312,1.139,1.1289
1999-02-02,1.1348,1.1365,1.1285
1999-02-03,1.1319,1.1356,1.13
1999-02-04,1.1335,1.1345,1.125
1999-02-05,1.1265,1.137,1.1254
1999-02-08,1.1325,1.1327,1.122
1999-02-09,1.1289,1.1345,1.1281
1999-02-10,1.1345,1.136,1.127
1999-02-11,1.1233,1.1335,1.1222
1999-02-12,1.128,1.1287,1.1215
1999-02-15,1.123,1.1305,1.1223
1999-02-16,1.1201,1.1235,1.1164
1999-02-17,1.1237,1.1265,1.1205
1999-02-18,1.1203,1.128,1.119
1999-02-19,1.1063,1.121,1.106
1999-02-22,1.1036,1.107,1.0965
1999-02-23,1.1005,1.107,1.0944
1999-02-24,1.0986,1.1045,1.0925
1999-02-25,1.1044,1.1076,1.0985
1999-02-26,1.1016,1.1045,1.0955
1999-03-01,1.0886,1.102,1.0884
1999-03-02,1.0918,1.0938,1.086
1999-03-03,1.0889,1.0945,1.0881
1999-03-04,1.082,1.088,1.0792
1999-03-05,1.0826,1.0862,1.079
1999-03-08,1.0883,1.092,1.08
1999-03-09,1.0889,1.092,1.086
1999-03-10,1.0952,1.0975,1.0875
1999-03-11,1.1032,1.1063,1.08
1999-03-12,1.0904,1.104,1.0892
1999-03-15,1.0937,1.0957,1.0885
1999-03-16,1.1,1.1007,1.0815
1999-03-17,1.1004,1.1044,1.094
1999-03-18,1.0971,1.1065,1.0965
1999-03-19,1.0886,1.11,1.0882
1999-03-22,1.0915,1.0918,1.085
1999-03-23,1.091,1.0926,1.0865
1999-03-24,1.0892,1.0964,1.0875
1999-03-25,1.0906,1.091,1.083
1999-03-26,1.0767,1.0865,1.0714
1999-03-29,1.0739,1.079,1.068
1999-03-30,1.0717,1.0775,1.0698
1999-03-31,1.0757,1.0824,1.069
1999-04-01,1.0789,1.082,1.0725
1999-04-02,1.0782,1.0805,1.0765
1999-04-05,1.0711,1.0785,1.0702
1999-04-06,1.0842,1.0858,1.0705
1999-04-07,1.0774,1.0845,1.0768
1999-04-08,1.0744,1.088,1.0728
1999-04-09,1.0802,1.0813,1.0725
1999-04-12,1.0823,1.0878,1.0815
1999-04-13,1.0769,1.083,1.0745
1999-04-14,1.0797,1.082,1.0765
1999-04-15,1.0703,1.0815,1.0691
1999-04-16,1.07,1.0717,1.063
1999-04-19,1.0633,1.07,1.0594
1999-04-20,1.0627,1.0685,1.0611
1999-04-21,1.0619,1.0635,1.0575
1999-04-22,1.0616,1.066,1.0561
1999-04-23,1.0612,1.0685,1.0596
1999-04-26,1.0586,1.063,1.0579
1999-04-27,1.0665,1.0668,1.058
1999-04-28,1.0623,1.0695,1.0606
1999-04-29,1.0591,1.064,1.057
1999-04-30,1.0584,1.0635,1.0549
1999-05-03,1.0577,1.0605,1.0553
1999-05-04,1.0633,1.0635,1.056
1999-05-05,1.0744,1.0773,1.0615
1999-05-06,1.0815,1.0825,1.0735
1999-05-07,1.075,1.0814,1.0743
1999-05-10,1.08,1.0836,1.071
1999-05-11,1.0715,1.0805,1.0705
1999-05-12,1.0649,1.0747,1.064
1999-05-13,1.0666,1.0675,1.0605
1999-05-14,1.0652,1.0741,1.0649
1999-05-17,1.0669,1.0688,1.064
1999-05-18,1.0686,1.0709,1.0656
1999-05-19,1.0659,1.0685,1.0623
1999-05-20,1.0631,1.0707,1.0615
1999-05-21,1.0579,1.062,1.0546
1999-05-24,1.0592,1.0608,1.055
1999-05-25,1.0593,1.0641,1.0565
1999-05-26,1.0468,1.0625,1.045
1999-05-27,1.0441,1.0485,1.041
1999-05-28,1.0401,1.051,1.0395
1999-05-31,1.042,1.0485,1.0415
1999-06-01,1.0448,1.0478,1.0415
1999-06-02,1.0348,1.046,1.033
1999-06-03,1.0325,1.0404,1.0305
1999-06-04,1.0373,1.0377,1.027
1999-06-07,1.0284,1.037,1.026
1999-06-08,1.0458,1.0468,1.0265
1999-06-09,1.0471,1.0492,1.0427
1999-06-10,1.0482,1.052,1.0435
1999-06-11,1.0542,1.0563,1.0473
1999-06-14,1.0422,1.051,1.0408
1999-06-15,1.0422,1.0435,1.038
1999-06-16,1.0313,1.044,1.029
1999-06-17,1.0342,1.0355,1.029
1999-06-18,1.0387,1.0423,1.0295
1999-06-21,1.0348,1.0415,1.031
1999-06-22,1.0323,1.0355,1.0295
1999-06-23,1.0328,1.035,1.0272
1999-06-24,1.0408,1.0422,1.0308
1999-06-25,1.0431,1.048,1.0405
1999-06-28,1.0361,1.0435,1.0346
