Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
1999-01-01,2.2815,2.2815,2.2815
1999-01-04,2.2653,2.2736,2.2631
1999-01-05,2.2686,2.2786,2.2621
1999-01-06,2.3082,2.311,2.2772
1999-01-07,2.2743,2.2914,2.2695
1999-01-08,2.2886,2.296,2.2682
1999-01-11,2.285,2.2999,2.2746
1999-01-12,2.2645,2.2751,2.2592
1999-01-13,2.2521,2.2577,2.2184
1999-01-14,2.249,2.2621,2.2416
1999-01-15,2.2784,2.2814,2.2683
1999-01-18,2.2795,2.2795,2.2795
1999-01-19,2.2755,2.29,2.2734
1999-01-20,2.2869,2.2951,2.2796
1999-01-21,2.287,2.2961,2.2756
1999-01-22,2.2901,2.2918,2.279
1999-01-25,2.2975,2.3035,2.2819
1999-01-26,2.3051,2.3075,2.2949
1999-01-27,2.3197,2.3257,2.3065
1999-01-28,2.3278,2.3368,2.3236
1999-01-29,2.3285,2.3371,2.3248
1999-02-01,2.3312,2.3367,2.3267
1999-02-02,2.3164,2.329,2.3155
1999-02-03,2.3153,2.3197,2.305
1999-02-04,2.3267,2.3281,2.3184
1999-02-05,2.3201,2.3326,2.3176
1999-02-08,2.32,2.3282,2.3154
1999-02-09,2.3239,2.3252,2.3135
1999-02-10,2.2911,2.2969,2.286
1999-02-11,2.3141,2.3156,2.2874
1999-02-12,2.3098,2.313,2.3024
1999-02-15,2.3122,2.3175,2.3077
1999-02-16,2.3288,2.3385,2.3263
1999-02-17,2.3257,2.3311,2.3219
1999-02-18,2.3334,2.3402,2.3175
1999-02-19,2.3455,2.3547,2.3365
1999-02-22,2.3552,2.3583,2.349
1999-02-23,2.3359,2.3514,2.3342
1999-02-24,2.3118,2.325,2.3112
1999-02-25,2.3072,2.3129,2.3015
1999-02-26,2.3171,2.3248,2.3105
1999-03-01,2.3535,2.3563,2.3304
1999-03-02,2.3529,2.3592,2.3491
1999-03-03,2.3556,2.3679,2.3512
1999-03-04,2.3653,2.3686,2.3474
1999-03-05,2.3611,2.3696,2.3582
1999-03-08,2.3515,2.3571,2.3497
1999-03-09,2.3724,2.3782,2.3565
1999-03-10,2.374,2.3792,2.3672
1999-03-11,2.3792,2.4014,2.3627
1999-03-12,2.3911,2.3996,2.3823
1999-03-15,2.3776,2.3806,2.3709
1999-03-16,2.3676,2.3867,2.3643
1999-03-17,2.3661,2.3765,2.358
1999-03-18,2.376,2.3773,2.3554
1999-03-19,2.3894,2.3921,2.3785
1999-03-22,2.3811,2.3917,2.3803
1999-03-23,2.3903,2.3938,2.3784
1999-03-24,2.3936,2.3992,2.3861
1999-03-25,2.389,2.3982,2.3856
1999-03-26,2.4018,2.4085,2.3971
1999-03-29,2.3986,2.4144,2.3978
1999-03-30,2.4031,2.4055,2.3926
1999-03-31,2.3904,2.3976,2.3816
1999-04-01,2.3728,2.3807,2.3673
1999-04-02,2.3748,2.3775,2.372
1999-04-05,2.3831,2.3898,2.374
1999-04-06,2.3436,2.3653,2.3387
1999-04-07,2.3637,2.3676,2.3537
1999-04-08,2.3841,2.3911,2.3592
1999-04-09,2.3851,2.3901,2.3735
1999-04-12,2.3952,2.3965,2.3814
1999-04-13,2.4089,2.4111,2.3997
1999-04-14,2.3921,2.4098,2.391
1999-04-15,2.4109,2.4151,2.3995
1999-04-16,2.4146,2.4231,2.4079
1999-04-19,2.4263,2.4386,2.4211
1999-04-20,2.4258,2.4396,2.425
1999-04-21,2.4223,2.43,2.4187
1999-04-22,2.4358,2.4389,2.4277
1999-04-23,2.4396,2.4439,2.4267
1999-04-26,2.4408,2.4431,2.4358
1999-04-27,2.4417,2.4421,2.4348
1999-04-28,2.4415,2.4461,2.4371
1999-04-29,2.4462,2.4493,2.4382
1999-04-30,2.45,2.4581,2.4471
1999-05-03,2.4517,2.4573,2.4503
1999-05-04,2.4624,2.4648,2.4523
1999-05-05,2.447,2.4561,2.4379
1999-05-06,2.4406,2.4473,2.4331
1999-05-07,2.4407,2.4416,2.4303
1999-05-10,2.4235,2.4363,2.4209
1999-05-11,2.4367,2.4399,2.4263
1999-05-12,2.4359,2.4406,2.4245
1999-05-13,2.4352,2.4448,2.4329
1999-05-14,2.4372,2.4404,2.4199
1999-05-17,2.4326,2.4377,2.4276
1999-05-18,2.4334,2.4413,2.4281
1999-05-19,2.4316,2.4409,2.4305
1999-05-20,2.4242,2.4339,2.423
1999-05-21,2.4286,2.4371,2.4271
1999-05-24,2.4141,2.4206,2.4121
1999-05-25,2.4096,2.4163,2.401
1999-05-26,2.4298,2.4324,2.4225
1999-05-27,2.4381,2.4398,2.4268
1999-05-28,2.4502,2.4516,2.4369
1999-05-31,2.4478,2.4495,2.4404
1999-06-01,2.4571,2.4586,2.4449
1999-06-02,2.467,2.4763,2.4644
1999-06-03,2.474,2.4765,2.4588
1999-06-04,2.468,2.48,2.4629
1999-06-07,2.4701,2.479,2.4658
1999-06-08,2.4445,2.4516,2.4425
1999-06-09,2.4413,2.4467,2.4337
1999-06-10,2.4442,2.446,2.4362
1999-06-11,2.4496,2.4543,2.4427
1999-06-14,2.459,2.4654,2.4562
1999-06-15,2.4389,2.4508,2.4377
1999-06-16,2.4569,2.4663,2.4475
1999-06-17,2.4571,2.4736,2.4561
1999-06-18,2.4552,2.458,2.4457
1999-06-21,2.4557,2.4603,2.4514
1999-06-22,2.4582,2.4601,2.4526
1999-06-23,2.4448,2.4513,2.4414
1999-06-24,2.4397,2.4511,2.4327
1999-06-25,2.4328,2.4387,2.4254
1999-06-28,2.4451,2.4477,2.4383
1999-06-29,2.4417,2.4511,2.4389
1999-06-30,2.4455,2.4546,2.4394
1999-07-01,2.4681,2.4805,2.4551
1999-07-02,2.4758,2.4791,2.4689
1999-07-05,2.4725,2.4784,2.4704
1999-07-06,2.4468,2.4631,2.4426
1999-07-07,2.4502,2.4524,2.4427
1999-07-08,2.4504,2.4572,2.4482
1999-07-09,2.4447,2.4503,2.4392
1999-07-12,2.4624,2.4669,2.4586
1999-07-13,2.457,2.4567,2.4483
1999-07-14,2.4595,2.4625,2.4532
1999-07-15,2.4645,2.4678,2.4556
1999-07-16,2.4627,2.4682,2.4587
1999-07-19,2.4629,2.47,2.4438
1999-07-20,2.4189,2.4629,2.4162
1999-07-21,2.4081,2.4131,2.401
1999-07-22,2.419,2.4301,2.407
1999-07-23,2.4101,2.4234,2.4049
1999-07-26,2.3927,2.3981,2.3816
1999-07-27,2.3951,2.4005,2.3879
1999-07-28,2.3958,2.399,2.3887
1999-07-29,2.4073,2.4158,2.3914
1999-07-30,2.4171,2.4277,2.4155
1999-08-02,2.4181,2.4272,2.4152
1999-08-03,2.4259,2.4325,2.4188
1999-08-04,2.4093,2.4165,2.4055
1999-08-05,2.3991,2.4033,2.3917
1999-08-06,2.3971,2.4098,2.3939
1999-08-09,2.4029,2.4043,2.3948
1999-08-10,2.4155,2.4169,2.402
1999-08-11,2.4215,2.424,2.4174
1999-08-12,2.4202,2.4274,2.4178
1999-08-13,2.4342,2.442,2.4197
1999-08-16,2.427,2.4344,2.4225
1999-08-17,2.4427,2.4445,2.432
1999-08-18,2.4355,2.4432,2.434
1999-08-19,2.4332,2.4429,2.4262
1999-08-20,2.4149,2.4285,2.4119
1999-08-23,2.4413,2.4533,2.4257
1999-08-24,2.4221,2.4359,2.4174
1999-08-25,2.4368,2.4431,2.4288
1999-08-26,2.4353,2.4394,2.4315
1999-08-27,2.4315,2.4335,2.4273
1999-08-30,2.4324,2.4388,2.4302
1999-08-31,2.4308,2.4425,2.4263
1999-09-01,2.4281,2.4321,2.4227
1999-09-02,2.3985,2.412,2.3966
1999-09-03,2.4149,2.4216,2.4039
1999-09-06,2.4235,2.424,2.4125
1999-09-07,2.4336,2.4341,2.4223
1999-09-08,2.4457,2.4521,2.4434
1999-09-09,2.4837,2.4859,2.457
1999-09-10,2.5127,2.5142,2.4814
1999-09-13,2.4799,2.5104,2.4761
1999-09-14,2.4892,2.4948,2.4684
1999-09-15,2.492,2.4935,2.4805
1999-09-16,2.5042,2.5097,2.4948
1999-09-17,2.502,2.5096,2.4957
1999-09-20,2.5079,2.5105,2.4959
1999-09-21,2.4931,2.5169,2.4908
1999-09-22,2.5013,2.5196,2.492
1999-09-23,2.512,2.5266,2.5119
1999-09-24,2.5176,2.5253,2.5095
1999-09-27,2.5189,2.5363,2.5189
1999-09-28,2.5039,2.521,2.4971
1999-09-29,2.4729,2.4907,2.4685
1999-09-30,2.4657,2.4781,2.462
1999-10-01,2.4478,2.4717,2.4468
1999-10-04,2.4556,2.466,2.4543
1999-10-05,2.4515,2.4667,2.4491
1999-10-06,2.4651,2.4672,2.4505
1999-10-07,2.4577,2.4598,2.4506
1999-10-08,2.4809,2.4859,2.4675
1999-10-11,2.4787,2.486,2.4725
