Date,GBP/JPY Close,GBP/JPY High,GBP/JPY Low
1999-01-01,188.67,188.67,188.67
1999-01-04,185.6,187.82,185.12
1999-01-05,183.95,184.95,183.7
1999-01-06,186.96,187.35,185.8
1999-01-07,183.12,184.37,182.41
1999-01-08,182.37,183.37,182.05
1999-01-11,177.03,180.01,176.67
1999-01-12,183.44,183.64,181.64
1999-01-13,186.46,188.53,185.95
1999-01-14,187.94,189.27,186.25
1999-01-15,188.65,188.65,186.4
1999-01-18,188.85,190.25,187.15
1999-01-19,187.84,189.22,187.8
1999-01-20,185.68,187.94,185.63
1999-01-21,187.78,189.47,185.74
1999-01-22,189.69,190.08,187.55
1999-01-25,188.77,189.23,188.26
1999-01-26,189.07,189.73,188.71
1999-01-27,190.29,191.24,189.29
1999-01-28,192.05,192.21,190.64
1999-01-29,191.68,191.88,190.21
1999-02-01,188.91,189.82,188.3
1999-02-02,183.71,186.13,183.7
1999-02-03,184.63,185.1,183.2
1999-02-04,184.83,185.34,183.07
1999-02-05,184.8,186.44,184.59
1999-02-08,187.74,188.33,185.34
1999-02-09,187.07,188.39,186.45
1999-02-10,186.28,188.23,185.45
1999-02-11,185.82,186.68,185.27
1999-02-12,186.76,186.81,185.09
1999-02-15,187.7,188.8,185.75
1999-02-16,194.06,194.2,192.21
1999-02-17,194.71,195.14,194.04
1999-02-18,195.94,196.46,195.01
1999-02-19,196.34,196.95,195.76
1999-02-22,196.56,197.05,195.1
1999-02-23,195.05,196.44,194.83
1999-02-24,194.34,195.04,194.21
1999-02-25,191.9,193.1,191.18
1999-02-26,160.67,191.77,189.89
1999-03-01,192.63,193.13,191.62
1999-03-02,194.26,195.1,194.07
1999-03-03,196.4,196.7,195.78
1999-03-04,198.59,198.95,197.71
1999-03-05,196.97,198.22,196.38
1999-03-08,195.59,196.5,195.52
1999-03-09,195.69,196.52,195.59
1999-03-10,195.07,195.61,194.59
1999-03-11,195.27,196.16,194.24
1999-03-12,193.72,196.02,193.68
1999-03-15,191,192.08,190.45
1999-03-16,191.74,191.98,191.03
1999-03-17,192.39,193.38,191.89
1999-03-18,191.35,192.6,191.26
1999-03-19,190.85,191.21,190.44
1999-03-22,192.27,192.88,191.73
1999-03-23,193.29,193.5,192.07
1999-03-24,192.93,193.79,192.47
1999-03-25,191.74,193.35,191.53
1999-03-26,195.21,195.5,193.37
1999-03-29,194.17,194.48,193.19
1999-03-30,193.97,194.53,193.35
1999-03-31,191.8,191.89,190.73
1999-04-01,193.17,193.42,191.35
1999-04-02,193.1,193.75,193
1999-04-05,194.93,195.45,193.25
1999-04-06,192.06,192.71,191.7
1999-04-07,193.54,193.9,193.14
1999-04-08,194.81,195.24,193.66
1999-04-09,194.56,194.77,194.01
1999-04-12,193.61,194.33,193.59
1999-04-13,193.56,194.57,193.37
1999-04-14,191.09,192.8,191.02
1999-04-15,191.2,192.29,190.87
1999-04-16,190,191.65,188.8
1999-04-19,189.33,190.73,189.05
1999-04-20,191.33,191.77,190.05
1999-04-21,192.36,192.81,191.59
1999-04-22,192.93,193.36,192.43
1999-04-23,192.73,193.39,192.54
1999-04-26,192.27,192.61,191.66
1999-04-27,194.88,195.09,193.38
1999-04-28,192.38,193.02,191.9
1999-04-29,191.38,192.19,191.21
1999-04-30,192.14,193.18,191.67
1999-05-03,193.58,193.7,192.99
1999-05-04,196.88,196.89,195.25
1999-05-05,197.5,198.03,196.14
1999-05-06,197.7,198.8,197.48
1999-05-07,197.06,197.58,196.84
1999-05-10,195.96,197.21,195.89
1999-05-11,196.34,196.5,195.55
1999-05-12,195.57,196.99,195.03
1999-05-13,197.45,197.5,196.83
1999-05-14,198.68,198.71,197.18
1999-05-17,199.76,200.06,199.2
1999-05-18,200.03,200.42,199.32
1999-05-19,201.05,201.95,201
1999-05-20,199.87,200.62,199.4
1999-05-21,198.52,199.39,198.21
1999-05-24,196.65,197.69,196.24
1999-05-25,196.67,196.98,196.38
1999-05-26,194.88,195.66,194.34
1999-05-27,192.59,195.44,192.22
1999-05-28,194.48,194.58,193.35
1999-05-31,194.86,195.65,194.35
1999-06-01,194.37,194.67,193.7
1999-06-02,194.72,195.19,193.82
1999-06-03,195.41,195.77,194.49
1999-06-04,196.94,197.03,195.51
1999-06-07,193.27,194.68,193.01
1999-06-08,190.82,194.09,190.48
1999-06-09,190.61,192.02,190.14
1999-06-10,190.82,191.12,190
1999-06-11,191.02,191.15,189.6
1999-06-14,193.81,194.23,193.34
1999-06-15,191.78,192.85,191.73
1999-06-16,191.04,192.03,190.36
1999-06-17,189.8,191.52,189.68
1999-06-18,192.18,192.94,191.25
1999-06-21,194.95,195,193.75
1999-06-22,193.45,193.78,193
1999-06-23,192.66,192.9,192.3
1999-06-24,193.54,193.56,192.8
1999-06-25,192.72,193.38,192.5
1999-06-28,191.76,193.28,191.36
1999-06-29,190.67,191.66,190.19
1999-06-30,191.12,191.19,190
1999-07-01,189.99,191.76,189.87
1999-07-02,191.22,191.43,190.66
1999-07-05,192.65,193.66,190.78
1999-07-06,190.57,192.05,190.37
1999-07-07,190.83,190.88,190.01
1999-07-08,191.14,191.53,190.54
1999-07-09,189.46,190.59,189.3
1999-07-12,190.28,192.36,189.61
1999-07-13,188.96,189.34,188.68
1999-07-14,188.57,188.72,187.93
1999-07-15,189.17,189.31,188.68
1999-07-16,189.06,189.46,188.73
1999-07-19,186.21,187.63,185.88
1999-07-20,186.54,188.03,185.75
1999-07-21,186.43,186.98,186.2
1999-07-22,184.8,187.14,183.93
1999-07-23,183.93,184.53,183.39
1999-07-26,185.44,185.83,183.72
1999-07-27,185.02,185.86,184.65
1999-07-28,185.46,185.54,184.02
1999-07-29,186.79,186.98,184.58
1999-07-30,185.82,187.11,185.62
1999-08-02,184.81,185.57,184.34
1999-08-03,186.83,187.13,185.67
1999-08-04,185.52,186.39,184.91
1999-08-05,184.37,185.09,184.07
1999-08-06,184.89,185.39,184.47
1999-08-09,185.08,185.38,184.39
1999-08-10,185.47,185.52,184.79
1999-08-11,185.82,185.84,185.26
1999-08-12,186.35,186.6,186.03
1999-08-13,185.86,186.92,184.61
1999-08-16,183.67,184.33,183.55
1999-08-17,182.88,183.3,182.59
1999-08-18,179.46,180.99,179.23
1999-08-19,180.27,180.45,177.78
1999-08-20,179.68,180.66,179.66
1999-08-23,178.54,180.27,178.35
1999-08-24,176.61,178.72,176.37
1999-08-25,176.16,177.08,175.88
1999-08-26,177.18,177.72,176.7
1999-08-27,177.18,177.64,176.87
1999-08-30,175.97,176.73,175.71
1999-08-31,176.05,176.91,175.5
1999-09-01,175.15,176.19,174.93
1999-09-02,175.55,176.19,175
1999-09-03,176.55,177.33,176.31
1999-09-06,176.31,176.45,175.4
1999-09-07,177.91,178.37,177.76
1999-09-08,179.88,180.17,179.43
1999-09-09,176.38,178.04,175.55
1999-09-10,176.16,178.11,176.06
1999-09-13,171.24,172.19,170.74
1999-09-14,170.14,171.76,168.99
1999-09-15,168.32,168.5,166.64
1999-09-16,170.77,171.26,168.24
1999-09-17,173.55,173.84,171.88
1999-09-20,172.4,175.5,172.21
