Date,GBP/USD Close,GBP/USD High,GBP/USD Low
1999-01-01,1.6604,1.6604,1.6604
1999-01-04,1.656,1.6715,1.6545
1999-01-05,1.6547,1.66,1.653
1999-01-06,1.6544,1.6555,1.649
1999-01-07,1.6506,1.6575,1.6468
1999-01-08,1.6445,1.652,1.6357
1999-01-11,1.6299,1.644,1.6295
1999-01-12,1.6305,1.6336,1.6235
1999-01-13,1.6478,1.6602,1.6325
1999-01-14,1.6568,1.658,1.6495
1999-01-15,1.6519,1.6645,1.6493
1999-01-18,1.653,1.656,1.649
1999-01-19,1.655,1.6622,1.648
1999-01-20,1.6452,1.6565,1.6446
1999-01-21,1.6525,1.6559,1.642
1999-01-22,1.6543,1.657,1.65
1999-01-25,1.6568,1.6609,1.6545
1999-01-26,1.6592,1.6625,1.657
1999-01-27,1.6445,1.6595,1.6437
1999-01-28,1.65,1.6505,1.6445
1999-01-29,1.6467,1.6495,1.6417
1999-02-01,1.6418,1.648,1.6382
1999-02-02,1.6395,1.6495,1.6377
1999-02-03,1.6363,1.6397,1.633
1999-02-04,1.6451,1.6453,1.6305
1999-02-05,1.6322,1.646,1.631
1999-02-08,1.6395,1.6415,1.6289
1999-02-09,1.6356,1.641,1.6326
1999-02-10,1.6296,1.638,1.6288
1999-02-11,1.6218,1.628,1.619
1999-02-12,1.6312,1.6322,1.621
1999-02-15,1.626,1.633,1.626
1999-02-16,1.6338,1.635,1.6235
1999-02-17,1.6348,1.6396,1.632
1999-02-18,1.6353,1.6385,1.6321
1999-02-19,1.6215,1.639,1.6203
1999-02-22,1.6262,1.627,1.6175
1999-02-23,1.6132,1.6265,1.6096
1999-02-24,1.5961,1.616,1.5946
1999-02-25,1.6039,1.6071,1.597
1999-02-26,1.6016,1.6065,1.5972
1999-03-01,1.6088,1.6122,1.5955
1999-03-02,1.6141,1.6163,1.605
1999-03-03,1.6131,1.622,1.6117
1999-03-04,1.6105,1.6135,1.6053
1999-03-05,1.6062,1.6105,1.6048
1999-03-08,1.6077,1.6111,1.601
1999-03-09,1.6184,1.62,1.6065
1999-03-10,1.6268,1.6294,1.616
1999-03-11,1.6363,1.6435,1.622
1999-03-12,1.6305,1.638,1.6285
1999-03-15,1.6227,1.6305,1.619
1999-03-16,1.629,1.6304,1.618
1999-03-17,1.6303,1.6329,1.624
1999-03-18,1.6295,1.6325,1.6265
1999-03-19,1.6281,1.6311,1.6263
1999-03-22,1.6283,1.6299,1.6253
1999-03-23,1.638,1.6394,1.622
1999-03-24,1.6356,1.6476,1.634
1999-03-25,1.6237,1.6385,1.6219
1999-03-26,1.6233,1.6265,1.6173
1999-03-29,1.6165,1.6235,1.6123
1999-03-30,1.6123,1.6185,1.6111
1999-03-31,1.6116,1.6166,1.607
1999-04-01,1.6034,1.6135,1.6008
1999-04-02,1.6035,1.605,1.6025
1999-04-05,1.6001,1.6065,1.5985
1999-04-06,1.591,1.603,1.5845
1999-04-07,1.5951,1.5987,1.587
1999-04-08,1.6048,1.6122,1.5955
1999-04-09,1.6091,1.6105,1.6015
1999-04-12,1.6136,1.619,1.6082
1999-04-13,1.6157,1.6165,1.6115
1999-04-14,1.6109,1.6213,1.6105
1999-04-15,1.6095,1.6163,1.6077
1999-04-16,1.6135,1.6155,1.6035
1999-04-19,1.6104,1.623,1.6056
1999-04-20,1.6098,1.6198,1.6088
1999-04-21,1.6066,1.613,1.604
1999-04-22,1.6144,1.6165,1.604
1999-04-23,1.6145,1.62,1.613
1999-04-26,1.6121,1.618,1.6103
1999-04-27,1.619,1.6196,1.609
1999-04-28,1.6135,1.6222,1.6131
1999-04-29,1.6081,1.6175,1.6069
1999-04-30,1.6093,1.6133,1.6069
1999-05-03,1.6093,1.6125,1.6059
1999-05-04,1.6294,1.6296,1.6085
1999-05-05,1.6376,1.6392,1.6255
1999-05-06,1.6415,1.6419,1.633
1999-05-07,1.6309,1.6395,1.6303
1999-05-10,1.6261,1.6357,1.6235
1999-05-11,1.6235,1.6275,1.6191
1999-05-12,1.6175,1.6237,1.616
1999-05-13,1.6208,1.6218,1.6175
1999-05-14,1.6186,1.6248,1.6135
1999-05-17,1.6184,1.6216,1.615
1999-05-18,1.6239,1.6259,1.617
1999-05-19,1.6171,1.6225,1.6161
1999-05-20,1.607,1.6205,1.6064
1999-05-21,1.601,1.609,1.6004
1999-05-24,1.5962,1.602,1.5928
1999-05-25,1.6015,1.6047,1.596
1999-05-26,1.5965,1.6045,1.5949
1999-05-27,1.5997,1.6021,1.588
1999-05-28,1.6013,1.6045,1.5955
1999-05-31,1.6025,1.6055,1.601
1999-06-01,1.6122,1.613,1.599
1999-06-02,1.6049,1.6137,1.6027
1999-06-03,1.6064,1.609,1.6025
1999-06-04,1.611,1.6118,1.6025
1999-06-07,1.6003,1.611,1.5991
1999-06-08,1.605,1.607,1.5985
1999-06-09,1.6032,1.607,1.5978
1999-06-10,1.6055,1.6057,1.5975
1999-06-11,1.6178,1.6182,1.6035
1999-06-14,1.607,1.616,1.6048
1999-06-15,1.5929,1.609,1.5897
1999-06-16,1.5884,1.595,1.5854
1999-06-17,1.5928,1.5962,1.5855
1999-06-18,1.5963,1.6,1.5905
1999-06-21,1.5919,1.5955,1.5849
1999-06-22,1.5899,1.5935,1.5855
1999-06-23,1.5806,1.5915,1.5758
1999-06-24,1.5886,1.5905,1.5745
1999-06-25,1.5874,1.594,1.5866
1999-06-28,1.5823,1.5873,1.58
1999-06-29,1.5747,1.5837,1.5735
1999-06-30,1.5781,1.5793,1.573
1999-07-01,1.5731,1.582,1.5721
1999-07-02,1.5793,1.5801,1.5695
1999-07-05,1.5695,1.572,1.567
1999-07-06,1.5621,1.576,1.5591
1999-07-07,1.5619,1.5635,1.556
1999-07-08,1.5589,1.5617,1.5537
1999-07-09,1.5479,1.561,1.5469
1999-07-12,1.5578,1.5588,1.5485
1999-07-13,1.5575,1.5593,1.554
1999-07-14,1.5637,1.5653,1.5515
1999-07-15,1.5656,1.5706,1.563
1999-07-16,1.5627,1.57,1.5621
1999-07-19,1.5809,1.5851,1.5575
1999-07-20,1.569,1.582,1.5674
1999-07-21,1.5779,1.5805,1.57
1999-07-22,1.5847,1.5875,1.574
1999-07-23,1.5781,1.5855,1.5755
1999-07-26,1.5901,1.5949,1.579
1999-07-27,1.5904,1.5945,1.5876
1999-07-28,1.5977,1.5981,1.5845
1999-07-29,1.6178,1.6228,1.5955
1999-07-30,1.6224,1.6248,1.6125
1999-08-02,1.6175,1.621,1.6135
1999-08-03,1.6203,1.6243,1.6137
1999-08-04,1.6223,1.629,1.6177
1999-08-05,1.6129,1.6221,1.6125
1999-08-06,1.6112,1.619,1.6074
1999-08-09,1.6064,1.61,1.6008
1999-08-10,1.6147,1.6193,1.605
1999-08-11,1.6107,1.6175,1.6087
1999-08-12,1.6123,1.6135,1.6065
1999-08-13,1.6057,1.615,1.6039
1999-08-16,1.6013,1.6105,1.5995
1999-08-17,1.6038,1.6062,1.5955
1999-08-18,1.6026,1.6085,1.6002
1999-08-19,1.6184,1.6202,1.5975
1999-08-20,1.6146,1.622,1.613
1999-08-23,1.6021,1.618,1.6005
1999-08-24,1.5943,1.603,1.5881
1999-08-25,1.5852,1.595,1.584
1999-08-26,1.5881,1.5925,1.585
1999-08-27,1.5879,1.5925,1.5844
1999-08-30,1.5893,1.5915,1.5855
1999-08-31,1.6065,1.6119,1.5905
1999-09-01,1.6062,1.612,1.6024
1999-09-02,1.606,1.6135,1.5985
1999-09-03,1.6035,1.6155,1.6028
1999-09-06,1.606,1.6075,1.6005
1999-09-07,1.605,1.6098,1.5995
1999-09-08,1.6193,1.626,1.604
1999-09-09,1.6349,1.6363,1.619
1999-09-10,1.6185,1.635,1.6155
1999-09-13,1.6083,1.6225,1.6068
1999-09-14,1.6077,1.6105,1.5985
1999-09-15,1.6147,1.6161,1.5983
1999-09-16,1.6234,1.6269,1.613
1999-09-17,1.6231,1.626,1.616
1999-09-20,1.6207,1.6255,1.6203
1999-09-21,1.631,1.6342,1.621
1999-09-22,1.628,1.6412,1.627
1999-09-23,1.64,1.6445,1.6285
1999-09-24,1.6432,1.647,1.6394
1999-09-27,1.6472,1.65,1.6395
1999-09-28,1.6502,1.6516,1.6445
1999-09-29,1.6439,1.6485,1.6397
1999-09-30,1.6463,1.6481,1.643
1999-10-01,1.6543,1.6579,1.646
1999-10-04,1.656,1.66,1.653
1999-10-05,1.6578,1.6582,1.6495
1999-10-06,1.6563,1.6591,1.6525
1999-10-07,1.6522,1.656,1.6485
1999-10-08,1.6505,1.6567,1.647
1999-10-11,1.6525,1.658,1.65
1999-10-12,1.6571,1.6585,1.6505
1999-10-13,1.6553,1.659,1.6519
1999-10-14,1.6643,1.6673,1.6525
1999-10-15,1.671,1.6732,1.6615
1999-10-18,1.6686,1.6718,1.667
1999-10-19,1.6724,1.6745,1.665
1999-10-20,1.6632,1.6735,1.6614
1999-10-21,1.6767,1.6795,1.6635
1999-10-22,1.6569,1.679,1.6527
1999-10-25,1.6633,1.6643,1.655
1999-10-26,1.6531,1.6645,1.6489
1999-10-27,1.6443,1.658,1.6417
1999-10-28,1.6382,1.6485,1.634
1999-10-29,1.6447,1.6453,1.6325
1999-11-01,1.6419,1.6495,1.6411
1999-11-02,1.646,1.6496,1.642
1999-11-03,1.643,1.6515,1.6422
1999-11-04,1.6214,1.6476,1.621
1999-11-05,1.6197,1.628,1.6149
1999-11-08,1.6195,1.625,1.6143
1999-11-09,1.623,1.6256,1.6185
1999-11-10,1.6272,1.6282,1.6192
1999-11-11,1.6245,1.6285,1.621
1999-11-12,1.6158,1.622,1.6098
1999-11-15,1.6212,1.6253,1.614
1999-11-16,1.6185,1.624,1.6147
1999-11-17,1.6251,1.6275,1.616
1999-11-18,1.6157,1.6285,1.6131
1999-11-19,1.6207,1.6215,1.6121
1999-11-22,1.6201,1.6227,1.618
