Date,USD/CAD Close,USD/CAD High,USD/CAD Low
1999-01-01,1.534,1.534,1.534
1999-01-04,1.5268,1.5345,1.5226
1999-01-05,1.5148,1.5298,1.5136
1999-01-06,1.5104,1.523,1.5018
1999-01-07,1.5127,1.5145,1.5059
1999-01-08,1.5124,1.5165,1.5085
1999-01-11,1.5059,1.514,1.5048
1999-01-12,1.5133,1.5147,1.506
1999-01-13,1.52,1.5456,1.515
1999-01-14,1.5342,1.5347,1.5185
1999-01-15,1.5281,1.5314,1.5249
1999-01-18,1.527,1.529,1.521
1999-01-19,1.5304,1.5334,1.525
1999-01-20,1.5217,1.5305,1.5208
1999-01-21,1.5187,1.523,1.5112
1999-01-22,1.5186,1.5214,1.5115
1999-01-25,1.5176,1.5235,1.5128
1999-01-26,1.5199,1.522,1.5155
1999-01-27,1.5203,1.5216,1.5185
1999-01-28,1.5184,1.5279,1.518
1999-01-29,1.5105,1.518,1.5064
1999-02-01,1.5089,1.514,1.5064
1999-02-02,1.5146,1.516,1.5028
1999-02-03,1.5129,1.516,1.5097
1999-02-04,1.4929,1.5107,1.4902
1999-02-05,1.4893,1.4925,1.4825
1999-02-08,1.4909,1.4929,1.4853
1999-02-09,1.4958,1.4969,1.4895
1999-02-10,1.4891,1.4965,1.4887
1999-02-11,1.4933,1.4936,1.4865
1999-02-12,1.4929,1.494,1.4882
1999-02-15,1.4935,1.494,1.492
1999-02-16,1.495,1.5065,1.4925
1999-02-17,1.4955,1.5004,1.494
1999-02-18,1.487,1.495,1.4855
1999-02-19,1.4884,1.4924,1.4865
1999-02-22,1.496,1.4987,1.4871
1999-02-23,1.4962,1.4996,1.4936
1999-02-24,1.4974,1.504,1.494
1999-02-25,1.5096,1.5144,1.4975
1999-02-26,1.5102,1.514,1.5062
1999-03-01,1.5222,1.5252,1.5071
1999-03-02,1.5204,1.528,1.5185
1999-03-03,1.5266,1.529,1.519
1999-03-04,1.5248,1.5313,1.5238
1999-03-05,1.5199,1.5236,1.5148
1999-03-08,1.5152,1.5195,1.5127
1999-03-09,1.5177,1.5196,1.5115
1999-03-10,1.5222,1.525,1.5135
1999-03-11,1.5243,1.525,1.5183
1999-03-12,1.5236,1.5275,1.519
1999-03-15,1.526,1.5299,1.523
1999-03-16,1.5276,1.5309,1.5255
1999-03-17,1.5211,1.528,1.519
1999-03-18,1.5174,1.5215,1.516
1999-03-19,1.5155,1.519,1.5144
1999-03-22,1.5037,1.5152,1.5023
1999-03-23,1.507,1.5088,1.5037
1999-03-24,1.5077,1.5094,1.5018
1999-03-25,1.5076,1.5135,1.5076
1999-03-26,1.5142,1.5161,1.505
1999-03-29,1.5138,1.5152,1.5113
1999-03-30,1.5116,1.5155,1.5114
1999-03-31,1.5087,1.5149,1.5065
1999-04-01,1.4984,1.5075,1.4964
1999-04-02,1.496,1.5005,1.496
1999-04-05,1.5025,1.5069,1.4957
1999-04-06,1.5027,1.5052,1.5005
1999-04-07,1.4993,1.5045,1.498
1999-04-08,1.5001,1.5003,1.4969
1999-04-09,1.5003,1.504,1.4975
1999-04-12,1.4936,1.5005,1.4922
1999-04-13,1.4905,1.4925,1.487
1999-04-14,1.4938,1.4942,1.49
1999-04-15,1.4885,1.497,1.4878
1999-04-16,1.479,1.489,1.478
1999-04-19,1.4855,1.4877,1.478
1999-04-20,1.4905,1.4911,1.4854
1999-04-21,1.4874,1.4925,1.4861
1999-04-22,1.4814,1.488,1.4797
1999-04-23,1.4757,1.48,1.4744
1999-04-26,1.4757,1.4824,1.4748
1999-04-27,1.4791,1.4832,1.4764
1999-04-28,1.4772,1.4809,1.4744
1999-04-29,1.4663,1.4738,1.4643
1999-04-30,1.4585,1.4655,1.4538
1999-05-03,1.4479,1.4582,1.446
1999-05-04,1.4531,1.4557,1.4465
1999-05-05,1.451,1.4573,1.4494
1999-05-06,1.4545,1.4573,1.4452
1999-05-07,1.4567,1.4625,1.4525
1999-05-10,1.4592,1.4617,1.457
1999-05-11,1.4535,1.4615,1.451
1999-05-12,1.4596,1.462,1.4505
1999-05-13,1.4588,1.4635,1.4562
1999-05-14,1.4637,1.4654,1.4535
1999-05-17,1.459,1.4685,1.4577
1999-05-18,1.4639,1.4653,1.4565
1999-05-19,1.4674,1.4713,1.4638
1999-05-20,1.466,1.4688,1.4643
1999-05-21,1.4607,1.4665,1.4581
1999-05-24,1.4545,1.4625,1.4533
1999-05-25,1.4655,1.468,1.4537
1999-05-26,1.4724,1.475,1.4645
1999-05-27,1.4755,1.4776,1.4653
1999-05-28,1.4739,1.479,1.4709
1999-05-31,1.473,1.4773,1.473
1999-06-01,1.4836,1.4849,1.4743
1999-06-02,1.4798,1.486,1.4776
1999-06-03,1.4759,1.481,1.4746
1999-06-04,1.4699,1.4775,1.4684
1999-06-07,1.4687,1.4736,1.4665
1999-06-08,1.4715,1.4765,1.4663
1999-06-09,1.4731,1.4757,1.4711
1999-06-10,1.4628,1.4725,1.4589
1999-06-11,1.4616,1.463,1.4567
1999-06-14,1.4603,1.4634,1.458
1999-06-15,1.4621,1.4655,1.4593
1999-06-16,1.4593,1.4645,1.4572
1999-06-17,1.464,1.4662,1.4549
1999-06-18,1.4642,1.4675,1.4625
1999-06-21,1.4711,1.4737,1.4613
1999-06-22,1.4711,1.4739,1.4685
1999-06-23,1.4718,1.4763,1.4673
1999-06-24,1.4719,1.4727,1.4678
1999-06-25,1.465,1.4729,1.462
1999-06-28,1.4686,1.4701,1.4632
1999-06-29,1.478,1.4793,1.4691
