Date,USD/JPY Close,USD/JPY High,USD/JPY Low
1999-01-01,113.63,113.63,113.63
1999-01-04,112.04,113.98,111.57
1999-01-05,111.17,112.4,110.5
1999-01-06,113.01,113.48,111.5
1999-01-07,110.94,113,109.8
1999-01-08,110.89,112.1,110.55
1999-01-11,108.61,111,108.2
1999-01-12,112.48,112.8,108.7
1999-01-13,113.15,114.13,111.15
1999-01-14,113.43,114.43,112.8
1999-01-15,113.99,114.24,112.3
1999-01-18,114.2,115,113.3
1999-01-19,113.5,114.9,113.41
1999-01-20,112.86,114.07,112.81
1999-01-21,113.64,114.56,112.35
1999-01-22,114.67,114.78,113.6
1999-01-25,113.94,114.8,113.57
1999-01-26,113.95,114.3,113.3
1999-01-27,115.72,116.13,113.45
1999-01-28,116.39,116.84,115.2
1999-01-29,116.4,116.52,115.72
1999-02-01,115.07,115.95,114.96
1999-02-02,112.05,115.15,111.91
1999-02-03,112.83,113.01,111.75
1999-02-04,112.35,114,111.55
1999-02-05,113.22,113.72,111.35
1999-02-08,114.51,114.94,112.75
1999-02-09,114.38,114.9,114.05
1999-02-10,114.31,115.5,113.75
1999-02-11,114.58,114.82,113.6
1999-02-12,114.49,115.75,113.87
1999-02-15,115.45,115.9,113.8
1999-02-16,118.78,118.92,115.65
1999-02-17,119.1,119.22,118
1999-02-18,119.82,120.15,118.35
1999-02-19,121.08,121.16,119.4
1999-02-22,120.87,122.5,120.09
1999-02-23,120.91,121.91,119.85
1999-02-24,121.76,122.06,120.55
1999-02-25,119.64,120.8,119
1999-02-26,119.05,121.05,118.5
1999-03-01,119.74,119.94,118.9
1999-03-02,120.35,120.89,119.7
1999-03-03,121.76,121.89,120
1999-03-04,123.31,123.76,121.75
1999-03-05,122.63,123.55,122.04
1999-03-08,121.66,123.15,121.1
1999-03-09,120.91,122.05,120.65
1999-03-10,119.91,121.3,119.56
1999-03-11,119.32,120.95,118.56
1999-03-12,118.81,120.35,118.78
1999-03-15,117.7,119.4,117.34
1999-03-16,117.71,118.45,117.3
1999-03-17,118.01,119.15,117.2
1999-03-18,117.43,118.75,117.27
1999-03-19,117.23,117.75,116.9
1999-03-22,118.08,118.46,116.95
1999-03-23,118,118.75,117.79
1999-03-24,117.96,118.5,117.09
1999-03-25,118.09,118.35,117.75
1999-03-26,120.25,120.55,118
1999-03-29,120.12,120.55,119.62
1999-03-30,120.3,120.7,119.85
1999-03-31,119.01,120.9,118.13
1999-04-01,120.48,120.65,118.45
1999-04-02,120.43,120.8,120.35
1999-04-05,121.82,122.06,120.4
1999-04-06,120.72,121.8,120.63
1999-04-07,121.33,121.62,120.4
1999-04-08,121.39,121.55,120.34
1999-04-09,120.91,121.5,120.75
1999-04-12,120.18,120.9,119.76
1999-04-13,119.8,120.8,119.79
1999-04-14,118.62,119.9,118.57
1999-04-15,118.79,119.49,118.35
1999-04-16,117.75,119.15,117.45
1999-04-19,117.57,118.5,117.5
1999-04-20,118.85,118.99,117.53
1999-04-21,119.73,119.93,118.55
